AssetID,Site,Department,WorkGroup,AssetName,PCName,PathWebpage,AssetEnabled,AssetDescription,TransitionTime,ProductionModifier,DisplayMaster,DisplayName,ProductionRate,Zones,JDAAT_StationID,TransitionMode
131,CDR,LINEA C MOD,LINEA C,OP 50 GUSSET,,,1,,1086,1.00,True,,3.00000,,0,True
151,X4,8. Ensamble,Low Volume,ST03,,,1,,3300,1.00,False,,1.00000,,310,True
154,X4,8. Ensamble,Low Volume,ST06,,,1,,3300,1.00,False,,1.00000,,41,True
10,X4,1.Maquinas Laser,Corte laser,BPR03,WDXMXL82219VD,,1,,1800,1.00,True,,52.00000,,0,True
13,X4,1.Maquinas Laser,Corte laser,BPR06,WDXMXL8010NDN,,1,,1800,1.00,True,,52.00000,,0,True
17,X4,3.Corte Plasma,Corte Robots,Robot Plasma B,,,1,,450,1.00,True,,8.00000,,0,True
27,X4,5. Soldadura,Robot,Rollover 1,,,1,,1800,1.00,True,,10.00000,,0,True
40,X4,2.Prensas,Prensa Doblez,BPR021,,,1,,30,1.00,True,,120.00000,,0,True
93,Pintura,Conveyor 1,01.- Lavadora,2.- AT02,,,1,,212,1.00,False,,17.00000,,0,True
101,Pintura,Conveyor 2,06.- Horno,Stop #18 L2,,,1,,424,1.00,True,,8.50000,,0,True
102,Pintura,Conveyor 2,07.- Enfriamiento,Stop #15 L1,,,1,,424,1.00,True,,8.50000,,0,True
106,Pintura,Conveyor 3,01.- Calidad,Stop #21,,,1,,424,1.00,True,,17.00000,,0,True
117,Pintura,Conveyor 3,06.- Carga 1,Stop #01 Carga,,,1,,212,1.00,True,,8.50000,,804,True
122,Pintura,Conveyor 3,08.- Buffer Lavadora,Stop #06,,,1,,424,1.00,True,,17.00000,,0,True
22,X4,4.Linea Pintura,Pintura,Estacion Descarga Zona B,,,1,,450,1.00,True,,7.00000,,0,True
23,X4,4.Linea Pintura,Pintura,Estacion Descarga Zona A,,,1,,450,1.00,True,,7.00000,,0,True
24,X4,4.Linea Pintura,Sub Procesos Pintura,Entrada Pintura, WDXMXL8232D1L,,1,,228,1.00,True,,14.00000,,0,True
29,X4,5. Soldadura,Manual,Rollover 3,,,1,,1800,1.00,False,,10.00000,,0,True
31,X4,5. Soldadura,Manual,Rollover4,,,1,,1800,1.00,True,,10.00000,,0,True
65,Componentes,Dragones Soldadura,Rolling Baskets,Punteo Tubo,,,1,,800,1.00,True,,.00000,,0,True
125,CDR,LINEA C MOD,LINEA C,OP 20A,,,1,,870,1.00,True,,3.00000,,0,True
127,CDR,LINEA C MOD,LINEA C,OP 30 SUB DER,,,1,,870,1.00,True,,3.00000,,0,True
129,CDR,LINEA C MOD,LINEA C,OP 30 CASADO,,,1,,1086,1.00,True,,3.00000,,0,True
132,CDR,LINEA C MOD,LINEA C,OP 60 STUD,,,1,,1086,1.00,True,,3.00000,,0,True
57,Componentes,Dragones Soldadura,Rolling Baskets,Soldadura final 1,,,1,,800,1.00,True,,.00000,,0,True
71,Des,Laser,Corte Laser (Test),BPR06,,,1,,0,1.00,False,,.00000,,0,False
78,X4,High Runner,Mast,Okuma Mast,,,1,,1200,1.00,True,,3.00000,,0,True
89,des,Laser,CorteLaser (count),Prueba 1,,,1,,1800,1.00,False,,52.00000,,0,True
133,CDR,LINEA C SUB,LINEA C SUB,OP 45 SUB FENDER IZQ,,,1,,870,1.00,True,,3.00000,,0,True
135,X4,1.Maquinas Laser,Corte Laser,BPR11,,,1,,1800,1.00,True,,52.00000,,0,True
91,X4,5. Soldadura,Soldadura Rops,Rops Station,,,1,,60,1.00,False,,20.00000,,0,True
